Jugador;Equipo;Posición principal;Posiciones;Edad;Valor de mercado (Transfermarkt);Vencimiento contrato;Partidos jugados;Minutos jugados;Goles;xG;Asistencias;xA;Duelos/90;Duelos ganados, %;País de nacimiento;Pasaporte;Pie;Altura;Peso;En prestamo;Acciones defensivas realizadas/90;Duelos defensivos/90;Duelos defensivos ganados, %;Duelos aéreos en los 90;Duelos aéreos ganados, %;Entradas/90;Posesión conquistada después de una entrada;Tiros interceptados/90;Interceptaciones/90;Posesión conquistada después de una interceptación;Faltas/90;Tarjetas amarillas;Tarjetas amarillas/90;Tarjetas rojas;Tarjetas rojas/90;Acciones de ataque exitosas/90;Goles/90;Goles (excepto los penaltis);Goles, excepto los penaltis/90;xG/90;Goles de cabeza;Goles de cabeza/90;Remates;Remates/90;Tiros a la portería, %;Goles hechos, %;Asistencias/90;Centros/90;Precisión centros, %;Centros desde la banda izquierda/90;Precisión centros desde la banda izquierda, %;Centros desde la banda derecha/90;Precisión centros desde la banda derecha, %;Centros al área pequeña/90;Regates/90;Regates realizados, %;Duelos atacantes/90;Duelos atacantes ganados, %;Toques en el área de penalti/90;Carreras en progresión/90;Aceleraciones/90;Pases recibidos /90;Pases largos recibidos/90;Faltas recibidas/90;Pases/90;Precisión pases, %;Pases hacia adelante/90;Precisión pases hacia adelante, %;Pases hacia atrás/90;Precision pases hacia atrás, %;Pases laterales/90;Precisión pases laterales, %;Pases cortos / medios /90;Precisión pases cortos / medios, %;Pases largos/90;Precisión pases largos, %;Longitud media pases, m;Longitud media pases largos, m;xA/90;Asistencias/90;Second assists/90;Third assists/90;Desmarques/90;Precisión desmarques, %;Jugadas claves/90;Pases en el último tercio/90;Precisión pases en el último tercio, %;Pases al área de penalti/90;Pases hacía el área pequeña, %;Pases en profundidad/90;Precisión pases en profundidad, %;Ataque en profundidad/90;Centros desde el último tercio/90;Pases progresivos/90;Precisión pases progresivos, %;Goles recibidos;Goles recibidos/90;Remates en contra;Remates en contra/90;Porterías imbatidas en los 90;Paradas, %;xG en contra;xG en contra/90;Goles evitados;Goles evitados/90;Pases hacía atrás recibidos del arquero/90;Salidas/90;Duelos aéreos en los 90;Tiros libres/90;Tiros libres directos/90;Tiros libres directos, %;Córneres/90;Penaltis a favor;Penaltis realizados, %;
J. Bizama;Palestino;RB;RB, RCB;30;350000;2025-12-31;10;660;0;0,58;0;0,14;12,95;48,42;Chile;Chile;derecho;181;72;no;7,91;6,27;54,35;3,27;54,17;0,55;0,9;0,55;3,95;6,54;0,68;5;0,68;0;0;0,68;0;0;0;0,08;0;0;2;0,27;50;0;0;0,41;66,67;0;0;0,41;66,67;0;0,82;33,33;2,05;26,67;0,82;0,95;0;28,77;0,68;0,55;42;88,96;12,82;77,66;4,36;93,75;19,36;95,77;39;93,01;2,59;31,58;18,14;24,1;0,02;0,14;0;0;0;0;0,14;4,91;69,44;0,82;33,33;0,27;0;0,14;0,27;6,27;76,09;0;;0;;0;0;0;0;;;1,23;;;0;0;0;0;0;0;
E. Hernández;Cobresal;RCB;RCB, LCB, CB;26;350000;2025-12-31;12;1184;1;1,67;0;0,01;14,52;60,21;Uruguay;Uruguay;derecho;190;73;si;11,1;6,23;70,73;5,47;51,39;0,38;0,48;1,29;6,31;7,98;0,84;4;0,3;0;0;0,61;0,08;1;0,08;0,13;0;0;10;0,76;60;10;0;0;0;0;0;0;0;0;0,23;66,67;1,22;56,25;0,68;0,38;0,08;17,86;0,3;0,61;29,11;82,25;12,24;67,08;1,37;94,44;13;94,74;24,55;87,93;4,56;51,67;23,34;44,43;0;0,08;0;0;0;0;0;3,19;54,76;0;0;0,23;66,67;0;0;6,08;60;0;;0;;0;0;0;0;;;0,91;;;0;0;0;0;0;0;
E. Sosa;Cobresal;LCMF;LCMF, DMF, RCMF;26;350000;2025-12-31;12;1222;0;0,1;0;0,25;15,54;56,87;Uruguay;Uruguay;derecho;176;76;no;10,16;8,25;66,96;1,4;26,32;0,22;0,28;0,29;4,42;5,56;0,66;4;0,29;0;0;0,59;0;0;0;0,01;0;0;5;0,37;20;0;0;0,22;66,67;0,07;100;0,15;50;0;0,52;57,14;3,83;44,23;0,37;0,52;0,07;21,43;0,29;1,4;33,29;88,27;9,35;77,17;5,01;92,65;13,26;91,67;30,56;91,57;2,5;50;17,38;31,46;0,02;0,22;0;0;0,07;100;0,07;4,27;74,14;0,88;58,33;0,29;25;0,37;0,15;3,61;75,51;0;;0;;0;0;0;0;;;0,66;;;0;0;0;0;0;0;
A. Vilches;Cobresal;CF;CF;32;350000;2024-12-31;10;705;2;3,19;0;0,04;22,85;31,84;Chile;Chile;derecho;182;80;no;3,45;3,7;58,62;4,34;44,12;0,13;0,18;0,26;1,15;1,6;1,15;0;0;0;0;1,53;0,26;1;0,13;0,41;0;0;11;1,4;63,64;18,182;0;0,38;0;0,38;0;0;0;0;1,4;45,45;9,57;20;3,19;0,26;0;9,19;1,28;0,38;16,72;78,63;3,06;66,67;4,09;87,5;4,21;84,85;16,09;80,95;0,26;50;14,21;6,89;0;0,26;0;0;0;0;0;1,4;81,82;0,64;20;0;0;0,26;0;0,77;66,67;0;;0;;0;0;0;0;;;0;;;0;0;0;0;1;100;
J. Vázquez;Coquimbo Unido;AMF;AMF, CF, DMF;30;350000;2025-12-31;9;500;0;0,49;1;0,47;24,84;37,68;Argentina;Argentina;derecho;183;77;no;5,22;6,3;62,86;3,24;33,33;0,18;0,22;0;1,08;1,34;0,9;0;0;0;0;1,44;0;0;0;0,09;0;0;9;1,62;33,33;0;0,18;1,44;25;1,08;33,33;0,18;0;0,18;1,08;50;11,52;20,31;1,08;1,26;0,36;24,84;1,8;1,44;36,54;78,82;10,62;66,1;6,66;94,59;11,52;79,69;32,4;82,78;2,7;60;17,52;23,27;0,08;1,44;0;0;0;0;0,18;7,38;73,17;2,52;35,71;0,36;50;0,54;0,36;4,68;80,77;0;;0;;0;0;0;0;;;0,18;;;1,8;0;0;2,16;0;0;
C. Rodríguez;Deportes Iquique;LCB;LCB;34;350000;2025-12-31;7;578;0;0,77;0;0;16,35;64,76;Uruguay;Uruguay;derecho;186;84;no;9,65;6,54;69,05;4,83;58,06;0,16;0,26;0,31;4,98;8,21;0,47;1;0,16;0;0;0,93;0;0;0;0,12;0;0;6;0,93;16,67;0;0;0;0;0;0;0;0;0;0,78;100;2,18;78,57;1,25;0,78;0;12,3;0,31;0,31;27,25;76;14,33;63,04;1,25;100;8,72;91,07;22,58;83,45;4,67;40;21,34;30,76;0;0;0;0;0;0;0;5,29;47,06;0;0;0;0;0,16;0;6,07;58,97;0;;0;;0;0;0;0;;;0,78;;;0;0;0;0;0;0;
D. Sappa;Deportes Iquique;GK;GK;29;350000;;6;611;0;0;0;0;1,91;84,62;Argentina;Argentina;derecho;193;97;no;2,65;0,29;100;1,18;75;0,15;0,21;0;2,21;3,13;0;1;0,15;0;0;0,15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,15;100;0,15;100;0;0;0;10,31;0,44;0,15;21,36;80,69;14,58;71,72;0;0;6,33;100;12,08;97,56;9,28;58,73;38,13;55,91;0;0;0,15;0,29;0;0;0;5,01;52,94;0,29;50;0,29;0;0,29;0;6,48;72,73;13;1,91;40;5,89;0;67,5;11,79;1,74;-1,21;-0,178;0;3,54;1,18;;;;0;0;0;
I. González;Everton;GK;GK;34;350000;2026-12-31;30;2992;0;0;0;0;0,69;73,91;Chile;Chile;derecho;184;84;no;1,11;0,06;0;0,39;84,62;0;0;0;1,11;1,63;0,06;4;0,12;1;0,03;0,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03;100;0,15;80;0;0;0;10,29;0,12;0,21;16,3;91,33;7,1;82,2;0;0;8,48;98,94;11,04;98,09;5,26;77,14;30,45;44,85;0;0;0;0;0;0;0;0,96;68,75;0;0;0;0;0;0;4,33;81,94;38;1,14;139;4,18;8;72,66;38,66;1,16;0,66;0,02;0;1,14;0,39;;;;0;0;0;
B. Nieto;Copiapó;RB;RB, RWB;26;350000;2025-12-31;22;1876;0;0,43;0;1,75;13,05;57,72;Chile;Chile;derecho;182;74;si;8,64;4,85;65,35;2,73;52,63;0,48;0,66;0,24;4,99;6,81;0,43;2;0,1;0;0;2,88;0;0;0;0,02;0;0;15;0,72;13,33;0;0;4,17;33,33;0,1;100;4,08;31,76;0,38;2,25;59,57;4,46;54,84;0,58;1,68;0,29;18,47;4,08;1,06;29,31;65,63;11,56;56,85;3,07;93,75;10,84;69,03;18,13;77,51;7,34;53,59;25,84;41,26;0,08;0,77;0,05;0,05;0,05;100;0,29;6,28;52,67;3,6;38,67;1,1;39,13;0,43;1,25;8,3;68,79;0;;0;;0;0;0;0;;;0,86;;;0,19;0,05;0;0,19;0;0;
E. Ferrario;Unión La Calera;RCB;RCB, RB;24;350000;2024-12-31;25;2539;1;0,69;0;0,38;17,83;63,02;Chile;Chile, Italy;derecho;182;75;no;11,34;9,04;71,37;3,65;59,22;0,71;0,92;0,39;4,18;5,45;1,28;6;0,21;1;0,04;0,57;0,04;1;0,04;0,02;0;0;5;0,18;40;20;0;0,35;50;0,07;50;0,28;50;0,04;0,5;64,29;1,77;50;0,21;0,46;0;16,48;0,46;0,71;27,12;83,79;11,38;71,65;2,98;98,81;10,35;93,15;23,86;87,82;2,94;54,22;20,26;34,49;0,01;0,07;0,04;0;0;0;0,07;2,62;55,41;0,57;31,25;0,07;0;0,04;0,21;4,96;62,86;0;;0;;0;0;0;0;;;1,95;;;0;0;0;0;0;0;
G. Álvarez;Audax Italiano;CF;CF, LWF, AMF;27;325000;;15;1146;3;2,23;2;1,01;19,95;33,86;Chile;Chile;izquierdo;173;68;no;4,08;3,69;59,57;1,26;25;0,31;0,41;0;1,57;2,04;0,55;0;0;1;0,08;2,98;0,24;3;0,24;0,18;0;0;23;1,81;30,43;13,043;0,16;1,57;25;0,79;10;0,71;44,44;0,31;4,95;39,68;13,04;28,31;2,75;2,67;1,34;18,06;1,18;0,79;26,31;81,49;6,6;66,67;6,91;96,59;8,09;80,58;24,03;84,64;0,79;90;15,44;14,96;0,08;0,47;0,08;0;0,39;20;0,24;2,04;65,38;2,12;59,26;0,39;40;1,02;0,39;2,83;77,78;0;;0;;0;0;0;0;;;0,16;;;0,08;0;0;0,55;0;0;
G. Pacheco;Cobresal;RB;RB;35;325000;;30;2792;2;1,59;3;2,63;13,25;51,82;Chile;Chile;derecho;182;79;no;8,03;5,77;60,89;1,87;50;0,48;0,64;0,32;4,03;5,36;0,68;3;0,1;0;0;1,84;0,06;2;0,06;0,05;0;0;22;0,71;31,82;9,091;0,1;2,48;36,36;0,03;100;2,42;36;0,26;0,97;53,33;3,22;43;1,26;1,74;0,42;32,69;2,77;0,93;43;80,21;17,79;73,73;4,87;91,39;14,34;85,62;35,36;87,33;5,32;50,91;20,9;38,95;0,08;0,93;0,03;0;0,26;75;0,42;6,7;68,75;2,9;51,11;0,81;36;0,74;0,97;11,19;79,83;0;;0;;0;0;0;0;;;0,19;;;0,32;0,32;0;0,03;0;0;
J. Henríquez;Coquimbo Unido;DMF;DMF, AMF, RAMF;30;325000;;7;241;1;0,24;0;0,33;;;Chile;Chile;derecho;176;68;no;;;;;;;0;;;2,18;;0;;0;;;;1;;;0;;8;;;12,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20,35;32,41;;;;;;;;;;;;;;;;;;0;;0;;0;0;0;;;;;;;;;;;0;0;
F. Soldano;Unión La Calera;CF;CF;30;325000;2025-12-31;26;2404;2;4,71;1;1,55;21,98;40,72;Argentina;Argentina, Italy;derecho;180;79;no;5,24;3,86;56,31;10,48;42,86;0,49;0,63;0;2,58;3,36;0,82;5;0,19;0;0;1,31;0,07;2;0,07;0,18;2;0,07;33;1,24;42,42;6,061;0,04;0,82;36,36;0,49;46,15;0,34;22,22;0;0,9;41,67;4,08;28,44;2,7;0,22;0,07;12,62;2,85;0,86;18,68;66,53;5,24;55,71;3,18;87,06;5,35;65,73;16,17;70,83;1,76;40,43;15,63;23,76;0,06;0,56;0;0;0,15;75;0,11;2,21;45,76;1,09;37,93;0,19;40;0,67;0,26;2,17;62,07;0;;0;;0;0;0;0;;;0;;;0;0;0;0;1;0;
N. Ferreyra;Unión La Calera;LCB;LCB;31;300000;2025-12-31;9;619;0;0,36;1;0,6;17,74;54,1;Argentina;Argentina, Italy;derecho;194;90;si;8,87;5,53;52,63;5,82;67,5;1,02;1,28;0,87;4,94;6,22;1,31;4;0,58;1;0,15;0,58;0;0;0;0,05;0;0;2;0,29;100;0;0,15;0,29;50;0,15;100;0,15;0;0;0,15;100;1,16;25;0,58;0,15;0;13,23;0,15;0,15;26,46;81,87;10,76;70,27;2,04;85,71;10,61;94,52;22,25;88,89;3,93;44,44;18,22;34,69;0,09;0,29;0;0;0;0;0,15;4,22;51,72;0,58;25;0,15;0;0,15;0,15;5,09;71,43;0;;0;;0;0;0;0;;;0,87;;;0;0;0;0;0;0;
M. Campagnaro;Cobreloa;LB;LB, LW;21;300000;2024-12-31;4;250;0;0;0;0,07;;;Argentina;Argentina;izquierdo;181;72;si;;;;;;;0;;;2,95;;0;;0;;;;0;;;0;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21,26;34,44;;;;;;;;;;;;;;;;;;0;;0;;0;0;0;;;;;;;;;;;0;0;
M. León;Huachipato;RB;RB, RCMF;21;300000;;3;34;0;0;0;0;;;Chile;Chile;derecho;177;69;no;;;;;;;0;;;10;;0;;0;;;;0;;;0;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19,47;11;;;;;;;;;;;;;;;;;;0;;0;;0;0;0;;;;;;;;;;;0;0;
M. Sandoval;Cobreloa;DMF;DMF, RCMF, RDMF;33;300000;2024-12-31;17;1064;0;0,57;0;0,61;14,46;53,22;Chile;Chile;derecho;167;66;no;8,88;7,44;54,55;0,93;36,36;1,78;2,65;0,08;3,05;4,54;1,27;8;0,68;1;0,08;1,27;0;0;0;0,05;0;0;19;1,61;36,84;0;0;0,34;50;0,08;0;0,25;66,67;0;0,68;75;4,06;54,17;0,08;1,1;0,17;35,61;0,25;1,95;46,27;87,75;14,21;74,4;4,74;94,64;20,89;93,12;37,98;94,21;7,95;58,51;22,37;34,88;0,05;1,1;0;0,08;0,08;0;0,08;10,15;72,5;1,35;62,5;0,68;62,5;0,76;0,17;8,54;83,17;0;;0;;0;0;0;0;;;0,68;;;1,78;0,42;60;1,86;0;0;
G. Hachen;Audax Italiano;RW;RW;33;300000;2024-12-31;4;291;0;0,64;1;1,06;;;Argentina;Argentina;izquierdo;168;68;no;;;;;;;0,44;;;3,09;;0;;0;;;;0;;;0;;10;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17,66;33,19;;;;;;;;;;;;;;;;;;0;;0;;0;0;0;;;;;;;;;;;0;0;
F. Barrientos;Cobresal;LW;LW, RW, RAMF;27;300000;2024-12-31;19;717;0;1,76;0;0,64;17,95;41,26;Chile;Chile;derecho;167;74;no;4,39;5,02;57,5;1,51;33,33;0,38;0,58;0;1,13;1,75;0,88;0;0;0;0;4,39;0;0;0;0,22;0;0;7;0,88;57,14;0;0;3,89;51,61;1,63;61,54;2,26;44,44;0,63;4,39;42,86;9,54;35,53;2,51;1,76;0,63;20,59;1,63;1,13;27,49;79,91;4,77;65,79;7,66;91,8;10,29;78,05;22,09;85,8;1,76;71,43;18,14;23,03;0,08;0,88;0;0;0;0;0,25;3,77;80;3,14;56;0,13;100;0,75;1,88;6,15;79,59;0;;0;;0;0;0;0;;;0;;;0;0;0;0,5;0;0;
G. Kagelmacher;Universidad Católica;LCB;LCB;36;300000;2024-12-31;21;1841;0;1,36;0;0,01;11,78;69,71;Uruguay;Uruguay, Germany;derecho;183;79;no;8,8;5,13;74,29;3,96;71,6;0,2;0,31;0,59;4,79;7,64;0,54;2;0,1;0;0;0,2;0;0;0;0,07;0;0;3;0,15;66,67;0;0;0;0;0;0;0;0;0;0,24;0;0,93;36,84;0,44;0,59;0,15;17,89;0,2;0,64;30,41;88,1;14,03;78,05;2,05;100;12,81;96,56;26,5;92,25;3,91;60;21,74;31,77;0;0,05;0;0,05;0,15;66,67;0;2,84;74,14;0,15;33,33;0,05;0;0,15;0;5,33;67,89;0;;0;;0;0;0;0;;;1,71;;;0;0;0;0;0;0;
N. Castillo;Universidad Católica;CF;CF, RCMF;31;300000;2024-12-31;12;289;2;0,52;0;0,02;;;Chile;Chile;derecho;179;78;no;;;;;;;0;;;2,09;;1;;1;;;;2;;;0;;9;;;22,222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,78;11,6;;;;;;;;;;;;;;;;;;0;;0;;0;0;0;;;;;;;;;;;0;0;
F. Arancibia;Universidad Católica;RW;RW, RWF, LW;27;300000;2025-12-31;23;1289;0;1,06;0;2,44;22,48;43,79;Chile;Chile;izquierdo;170;69;no;2,72;3,14;51,11;1,82;30,77;0,07;0,12;0,07;1,05;1,74;1,05;2;0,14;1;0,07;6,21;0;0;0;0,07;0;0;18;1,26;22,22;0;0;4,33;33,87;0,84;50;3,42;30,61;0,49;7,61;56,88;15,15;45,16;3,14;4,12;1,61;9,64;1,26;1,33;15,85;67,4;3,21;58,7;2,51;91,67;6;67,44;10,47;84;1,05;40;19,77;14,19;0,17;1,26;0,07;0;0,28;50;0,35;1,19;58,82;2,72;46,15;0,35;60;0,63;1,4;2,09;80;0;;0;;0;0;0;0;;;0;;;0;0;0;0;0;0;
D. Tapia;Ñublense;GK;GK;29;300000;;4;385;0;0;0;0;;;Chile;Chile;izquierdo;180;80;no;;;;;;;0;;;2;;1;;0;;;;0;;;0;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37,55;50,54;;;;;;;;;;;;;;;;;;3;;18;;1;83,33;2,81;;-0,19;;;;;;;;;0;0;
G. Guiffrey;Audax Italiano;LB;LB, LCB;26;300000;2024-12-31;20;1514;0;0,68;1;0,55;15,16;59,22;Argentina;Argentina;izquierdo;182;74;no;11,24;6,96;75,21;2,08;45,71;0,12;0,15;0,36;5,89;7,48;0,48;1;0,06;1;0,06;1,43;0;0;0;0,04;0;0;6;0,36;33,33;0;0,06;1,49;32;1,49;32;0;0;0,12;1,55;53,85;3,98;50,75;0,89;1,31;0,18;15,93;1,37;0,42;29,13;74,69;14,86;67,2;2,68;95,56;7,97;82,09;23,6;82,37;4,22;45,07;21,8;31,41;0,03;0,24;0;0,06;0;0;0,18;4,76;60;1,61;37,04;0,18;66,67;0,18;0,48;7,01;66,95;0;;0;;0;0;0;0;;;0,42;;;0;0;0;0;0;0;
A. Vidal;Colo Colo;RCMF;RCMF, RW;37;300000;2024-12-31;17;1495;3;3,43;0;1,63;18,84;45,37;Chile;Chile;derecho;180;75;no;6,98;6,56;63,3;3,49;37,93;1,08;2,1;0;1,75;3,39;1,26;4;0,24;0;0;1,75;0,18;1;0,06;0,21;1;0,06;25;1,51;32;12;0;0,96;43,75;0,18;66,67;0,78;38,46;0;1,32;54,55;5,66;35,11;1,87;0,9;0,24;51,65;1,14;0,96;61,89;85,41;15,89;75,38;12,88;93,46;20,89;86,46;54,78;88,35;6,2;66,02;17,88;41,49;0,1;1,14;0,12;0,06;0,66;18,18;0,54;8,97;74,5;3,01;48;1,02;11,76;1,32;0,42;8,19;87,5;0;;0;;0;0;0;0;;;0,36;;;0,06;0;0;0,54;2;100;
J. Gómez;Universidad de Chile;RB;RB;33;300000;2024-12-31;8;657;0;0,23;0;0,4;17,81;67,69;Argentina;Argentina, Chile;derecho;183;83;no;9,86;7,67;80,36;2,74;80;0,41;0,61;0,41;3,29;4,86;0,55;0;0;0;0;3,42;0;0;0;0,03;0;0;3;0,41;33,33;0;0;2,19;68,75;0;0;2,19;68,75;0,14;2,47;72,22;4,66;52,94;0,68;1,51;0,55;19,59;0,82;0,14;31,64;79,22;12,74;64,52;4,66;100;10,41;84,21;23,7;84,39;5,75;61,9;20,95;30,03;0,05;0,82;0;0;0;0;0,14;4,79;60;2,05;73,33;0,27;50;0,14;1,64;9,45;69,57;0;;0;;0;0;0;0;;;0,41;;;0;0;0;0;0;0;
J. Cornejo;Coquimbo Unido;LB;LB, LW;34;300000;;25;1629;0;1,29;5;3,84;14,7;54,51;Chile;Chile;izquierdo;177;78;no;8,84;5,3;70,83;3,04;49,09;0,61;0,77;0,44;4,48;5,64;0,39;1;0,06;0;0;1,82;0;0;0;0,07;0;0;12;0,66;16,67;0;0,28;3,48;26,98;3,37;26,23;0,11;50;0,44;1,16;61,9;3,54;45,31;0,5;1,22;0,33;23,04;1,71;0,72;35,58;68,63;17,68;64,06;2,65;83,33;12,15;70,45;25,25;79,21;7,18;48,46;23,61;37,45;0,21;1,6;0;0;0,17;33,33;0,28;7,96;61,11;4,03;36,99;0,66;25;0,77;1,1;11,05;77;0;;0;;0;0;0;0;;;0,28;;;2,04;0,22;25;3,31;1;0;
J. Vargas;Huachipato;RCMF;RCMF, LCMF, LWF;27;300000;;4;163;0;0;0;0,11;;;Chile;Chile;derecho;169;72;no;;;;;;;0;;;0;;0;;0;;;;0;;;0;;1;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17,16;22,29;;;;;;;;;;;;;;;;;;0;;0;;0;0;0;;;;;;;;;;;0;0;
I. Tapia;Universidad de Chile;LCB;LCB;25;300000;2025-12-31;12;803;0;0,18;0;0,14;13,9;61,29;Chile;Chile;izquierdo;189;81;no;9,98;6,16;69,09;2,47;54,55;0,78;1,28;0,9;4,93;8,05;1,12;4;0,45;1;0,11;0,34;0;0;0;0,02;0;0;2;0,22;0;0;0;0;0;0;0;0;0;0;0,45;75;1,91;47,06;0,34;0,22;0;20,85;0,22;0,34;34,3;85,62;18,04;77,64;2,24;85;11,43;98,04;29,03;89,96;5,27;61,7;21,62;39,62;0,02;0,22;0;0;0;0;0;5,16;80,43;0,22;100;0;0;0,34;0;8,41;73,33;0;;0;;0;0;0;0;;;1,01;;;0;0;0;0;0;0;
C. Auzqui;O'Higgins;RWF;RWF, RW, RAMF;33;300000;2024-12-31;19;653;0;0,72;1;1,18;20,54;40,27;Argentina;Argentina;derecho;180;72;no;6,89;7,03;54,9;3,17;39,13;1,24;1,96;0,14;1,79;2,83;2,48;4;0,55;0;0;2,62;0;0;0;0,1;0;0;7;0,96;42,86;0;0,14;3,03;40,91;0,14;100;2,89;38,1;0;1,24;77,78;6,75;28,57;2,21;0,69;0;22,88;3,03;0,69;31,56;74,67;7,86;66,67;6,62;85,42;10,34;76;26,6;78,76;1,93;71,43;17,8;26,74;0,16;2,07;0;0;0;0;0,69;4,13;90;2,34;64,71;0,41;100;0,69;1,38;5,93;81,4;0;;0;;0;0;0;0;;;0;;;0;0;0;0,55;0;0;
L. Mosevich;O'Higgins;RCB;RCB;27;300000;2025-12-31;24;2446;1;3,04;0;0,09;15,64;71,29;Argentina;Argentina;derecho;187;80;si;10,96;7,14;77,84;5,52;67,33;0,74;1,03;0,29;4,67;6,51;0,85;6;0,22;2;0,07;0,4;0,04;1;0,04;0,11;0;0;10;0,37;50;10;0;0,04;0;0;0;0,04;0;0;0,29;75;0,81;54,55;0,44;0,15;0;19,83;0,15;0,37;33,59;87,19;12,22;73,8;2,32;96,83;16,3;95,49;28,74;91,29;4,82;63,36;22,62;39,71;0;0,07;0,04;0;0;0;0,04;3,02;62,2;0,07;100;0,15;25;0,11;0;6;63,19;0;;0;;0;0;0;0;;;1,88;;;0;0;0;0;1;0;
C. Insaurralde;Cobreloa;CF;CF, LWF, LW;33;300000;2024-12-31;20;1866;4;7,77;5;2,39;25,85;44,59;Argentina;Argentina;izquierdo;180;72;no;4,63;4,77;50,51;4,73;45,92;0,58;0,84;0,1;1,64;2,37;1,4;10;0,48;2;0,1;6,66;0,19;2;0,1;0,37;1;0,05;54;2,6;35,19;7,407;0,24;4,44;36,96;3,67;34,21;0,77;50;0,82;6,99;57,24;13,79;46,15;4,34;3,38;0,58;15,68;2,8;1,4;23,54;65,57;5,06;65,71;3,23;83,58;10,8;59,38;16,3;75,15;3,14;55,38;21,06;38,08;0,12;1,3;0;0;0,1;100;0,58;3,18;57,58;3,76;42,31;0,34;42,86;0,87;1,54;4;78,31;0;;0;;0;0;0;0;;;0;;;0,19;0;0;0,82;2;100;
N. Avellaneda;Cobreloa;GK;GK;31;300000;;26;2655;0;0;0;0,01;0,68;75;Argentina;Argentina;derecho;191;84;no;2,47;0,2;33,33;0,31;100;0;0;0;2,41;3,44;0,03;1;0,03;0;0;0,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03;100;0,1;66,67;0;0;0;10,14;0,1;0,07;18,71;83,15;10,85;73,13;0;0;7,39;98,17;11,12;97,26;7,53;63,06;34,38;51,35;0;0,03;0;0;0;0;0;2,44;44,44;0,24;28,57;0,17;60;0,07;0;4,92;76,55;54;1,83;162;5,49;5;66,67;57,49;1,95;3,49;0,118;0;1,53;0,31;;;;0;0;0;
Y. Aguila;Cobreloa;LB;LB;28;300000;2024-12-31;9;773;0;0,06;0;0,76;13,39;58,26;Chile;Chile;;176;73;no;8,38;6,17;67,92;3,14;66,67;0,35;0,56;0,12;3,84;6,15;0,93;0;0;0;0;1,28;0;0;0;0,01;0;0;6;0,7;16,67;0;0;3,03;23,08;3,03;23,08;0;0;0,23;0,82;57,14;2,91;40;0,35;1,05;0,12;22,7;2,33;0,7;32,37;71,94;14,09;64,46;3,61;90,32;9,9;69,41;24,22;81,25;5,24;57,78;21,71;41,74;0,09;0,7;0;0;0;0;0,23;5,36;71,74;3,73;31,25;0,35;33,33;0,47;0,7;7,57;64,62;0;;0;;0;0;0;0;;;0,47;;;0,12;0;0;0;0;0;
L. García;Cobreloa;RCMF;RCMF, LCMF, DMF;28;300000;2024-12-31;24;2105;2;0,97;0;0,38;10,65;57,43;Chile;Chile;derecho;175;70;no;7,18;4,75;67,57;1,84;48,84;0,68;0,98;0,38;3,29;4,71;1,03;3;0,13;0;0;0,6;0,09;2;0,09;0,04;1;0,04;15;0,64;46,67;13,333;0;0,21;60;0,04;100;0,17;50;0;0,38;44,44;2,14;40;0,43;0,38;0;20,31;0,77;0,81;29,37;86,61;9,53;76,68;2,69;98,41;13,21;91,91;25,78;89,88;3,38;63,29;18,97;32,32;0,02;0,34;0;0;0;0;0,04;4,06;83,16;0,51;66,67;0,26;83,33;0,21;0,09;5,13;70;0;;0;;0;0;0;0;;;0,56;;;0;0;0;0,04;0;0;
B. Soto;Copiapó;LCMF;LCMF, LDMF;23;300000;2024-12-31;22;1663;1;0,98;2;1,49;20,13;50,54;Chile;Chile;derecho;170;57;si;10,23;9,31;62,79;1,3;50;0,7;0,99;0,22;3,68;5,18;1,35;6;0,32;1;0,05;1,03;0,05;1;0,05;0,05;0;0;14;0,76;21,43;7,143;0,11;0;0;0;0;0;0;0;1,95;36,11;6,39;33,9;0,54;0,97;0,32;17,81;0,22;0,81;27,65;79,06;10,34;64,4;3,25;91,67;9,52;85,8;23,05;85,45;4,6;47,06;19,91;35,47;0,08;0,76;0,11;0,05;0,43;37,5;0,38;6,06;62,5;1,57;51,72;1,24;43,48;1,08;0;5,84;66,67;0;;0;;0;0;0;0;;;0,27;;;0;0;0;0,05;0;0;
